,auc,hospital
0,0.91875,Amazonas_HUGV
1,0.875,Amazonas_HUGV
2,0.8875,Amazonas_HUGV
3,0.83125,Amazonas_HUGV
4,0.8812500000000001,Amazonas_HUGV
0,0.6666666666666666,Ceara_HUWC
1,0.7083333333333333,Ceara_HUWC
2,0.7980769230769231,Ceara_HUWC
3,0.7243589743589743,Ceara_HUWC
4,0.8076923076923077,Ceara_HUWC
0,0.7705494505494507,Ceara_Unimed
1,0.8369230769230769,Ceara_Unimed
2,0.8496703296703296,Ceara_Unimed
3,0.852912087912088,Ceara_Unimed
4,0.8497252747252747,Ceara_Unimed
0,0.7513702513702514,GHC_02
1,0.8591003591003592,GHC_02
2,0.8615573615573615,GHC_02
3,0.8572103572103572,GHC_02
4,0.8572103572103572,GHC_02
0,0.6824673848165307,HC_USP
1,0.767814001080067,HC_USP
2,0.7697041184663047,HC_USP
3,0.7730651166756672,HC_USP
4,0.7682900832788563,HC_USP
0,0.6284584980237155,HEVV
1,0.6561264822134387,HEVV
2,0.691699604743083,HEVV
3,0.6758893280632411,HEVV
4,0.6996047430830039,HEVV
0,0.8839897260273972,HMV_POA_02
1,0.9623287671232876,HMV_POA_02
2,0.958904109589041,HMV_POA_02
3,0.9644691780821918,HMV_POA_02
4,0.9546232876712328,HMV_POA_02
0,0.6476733143399811,HospGrupoSanta
1,0.7960588793922128,HospGrupoSanta
2,0.835707502374169,HospGrupoSanta
3,0.8323836657169991,HospGrupoSanta
4,0.8411680911680912,HospGrupoSanta
0,0.774621212121212,Hospital_Ultimo
1,0.803030303030303,Hospital_Ultimo
2,0.8011363636363636,Hospital_Ultimo
3,0.8011363636363636,Hospital_Ultimo
4,0.7935606060606061,Hospital_Ultimo
0,0.8438908069518403,HospPortugues_Salvador
1,0.9381327169524256,HospPortugues_Salvador
2,0.9360260986599568,HospPortugues_Salvador
3,0.9426677979987126,HospPortugues_Salvador
4,0.9356749956112118,HospPortugues_Salvador
0,0.6339534307181814,HospSantaCasaSP_FULL
1,0.7788054464319768,HospSantaCasaSP_FULL
2,0.7842213661848277,HospSantaCasaSP_FULL
3,0.7710105267172662,HospSantaCasaSP_FULL
4,0.781241656813761,HospSantaCasaSP_FULL
0,0.8,HospSantaCatarinaBlumenau
1,0.9325842696629214,HospSantaCatarinaBlumenau
2,0.9168539325842696,HospSantaCatarinaBlumenau
3,0.9438202247191012,HospSantaCatarinaBlumenau
4,0.9191011235955056,HospSantaCatarinaBlumenau
0,0.8114617940199336,HospSantaJulia_Manaus
1,0.9003322259136213,HospSantaJulia_Manaus
2,0.9003322259136213,HospSantaJulia_Manaus
3,0.904485049833887,HospSantaJulia_Manaus
4,0.8961794019933556,HospSantaJulia_Manaus
0,0.7771428571428571,HospSaoFrancisco_MogiGuacu
1,0.76,HospSaoFrancisco_MogiGuacu
2,0.7485714285714286,HospSaoFrancisco_MogiGuacu
3,0.7342857142857143,HospSaoFrancisco_MogiGuacu
4,0.74,HospSaoFrancisco_MogiGuacu
0,0.6155420666290231,HRL_2021_02
1,0.6931347637869377,HRL_2021_02
2,0.7097920195746283,HRL_2021_02
3,0.7019339356295877,HRL_2021_02
4,0.7133210991906643,HRL_2021_02
0,0.5952380952380952,HUTRIN_2021_02
1,0.8154761904761905,HUTRIN_2021_02
2,0.8095238095238095,HUTRIN_2021_02
3,0.8333333333333334,HUTRIN_2021_02
4,0.7976190476190477,HUTRIN_2021_02
0,0.6027777777777777,Pelotas
1,0.725,Pelotas
2,0.7222222222222222,Pelotas
3,0.7361111111111112,Pelotas
4,0.7194444444444444,Pelotas
0,0.7418831168831169,Pernambuco_FULL
1,0.7191558441558441,Pernambuco_FULL
2,0.7077922077922078,Pernambuco_FULL
3,0.711038961038961,Pernambuco_FULL
4,0.7045454545454546,Pernambuco_FULL
0,0.708582357159933,Rio_de_Janeiro_HUCFF
1,0.7932106143915849,Rio_de_Janeiro_HUCFF
2,0.8042075065742291,Rio_de_Janeiro_HUCFF
3,0.8049246951948362,Rio_de_Janeiro_HUCFF
4,0.7972746832416925,Rio_de_Janeiro_HUCFF
0,0.7259047619047618,Rio_de_Janeiro_Unimed
1,0.8203809523809524,Rio_de_Janeiro_Unimed
2,0.8321904761904761,Rio_de_Janeiro_Unimed
3,0.8434285714285714,Rio_de_Janeiro_Unimed
4,0.8371428571428571,Rio_de_Janeiro_Unimed
0,0.7782775985967295,SantaCasa_Belem
1,0.7441011712782211,SantaCasa_Belem
2,0.7507214394839585,SantaCasa_Belem
3,0.7291631301986081,SantaCasa_Belem
4,0.7500990211056413,SantaCasa_Belem
