auc_local_mean,auc_local_ci,auc_federated_mean,auc_federated_ci,gain_mean,gain_ci,hospital,quantidade,auc_local_ci_lower,auc_local_ci_upper,auc_federated_ci_lower,auc_federated_ci_upper,gain_ci_lower,gain_ci_upper
0.863772882973266,"(0.6998469387755102, 0.9796332908163264)",0.8747436559226701,"(0.6937500000000001, 0.98890625)",0.010970772949403953,"(-0.09523809523809512, 0.13749999999999996)",Amazonas_HUGV,92,0.6998469387755102,0.9796332908163264,0.6937500000000001,0.98890625,-0.09523809523809512,0.13749999999999996
0.6066234177259355,"(0.3838209683037269, 0.8060727813852814)",0.7075391528090565,"(0.5012976588628762, 0.8802332949308755)",0.10091573508312092,"(-0.011979166666666728, 0.21885521885521886)",Ceara_HUWC,125,0.3838209683037269,0.8060727813852814,0.5012976588628762,0.8802332949308755,-0.011979166666666728,0.21885521885521886
0.8510278096986078,"(0.7810036014135648, 0.9080938169285973)",0.8410017946457136,"(0.7834532285908086, 0.8941286713039934)",-0.010026015052894256,"(-0.046205919790926954, 0.02704063216195563)",Ceara_Unimed,1377,0.7810036014135648,0.9080938169285973,0.7834532285908086,0.8941286713039934,-0.046205919790926954,0.02704063216195563
0.8398660337728527,"(0.7576667124762363, 0.9120862558314032)",0.8429903564882679,"(0.7707763150392329, 0.9070946134135472)",0.0031243227154150776,"(-0.04959881298219346, 0.054213451854961334)",GHC_02,600,0.7576667124762363,0.9120862558314032,0.7707763150392329,0.9070946134135472,-0.04959881298219346,0.054213451854961334
0.7871331053322372,"(0.7543639995775662, 0.8202460484869301)",0.7718613331840406,"(0.7393189781861719, 0.8067641451812242)",-0.015271772148196762,"(-0.028320019870833258, -0.001977592001429868)",HC_USP,2789,0.7543639995775662,0.8202460484869301,0.7393189781861719,0.8067641451812242,-0.028320019870833258,-0.001977592001429868
0.6121119677348581,"(0.39682539682539686, 0.8131904761904761)",0.7054202831118164,"(0.5058467699772047, 0.867864010989011)",0.09330831537695815,"(-0.042328042328042326, 0.21215415019762845)",HEVV,113,0.39682539682539686,0.8131904761904761,0.5058467699772047,0.867864010989011,-0.042328042328042326,0.21215415019762845
0.7940942676758018,"(0.6159600154116187, 0.9452346529220638)",0.8398608145231676,"(0.6782401315789474, 0.9609280994609632)",0.045766546847365704,"(-0.05580763339818679, 0.19931797775038432)",HMV_POA_02,537,0.6159600154116187,0.9452346529220638,0.6782401315789474,0.9609280994609632,-0.05580763339818679,0.19931797775038432
0.8665965177404823,"(0.7828392857142856, 0.9332104692165891)",0.7892986316215213,"(0.6760564623557547, 0.88014153955517)",-0.07729788611896114,"(-0.16660982551551412, -0.006079050522648214)",HospGrupoSanta,626,0.7828392857142856,0.9332104692165891,0.6760564623557547,0.88014153955517,-0.16660982551551412,-0.006079050522648214
0.8030075060298565,"(0.6888405797101449, 0.9070738636363636)",0.7339385933772251,"(0.556108276643991, 0.8977330705009277)",-0.06906891265263124,"(-0.2343829719387756, 0.07392751039809868)",Hospital_Ultimo,186,0.6888405797101449,0.9070738636363636,0.556108276643991,0.8977330705009277,-0.2343829719387756,0.07392751039809868
0.943670110015167,"(0.9219664340476039, 0.9617055333601318)",0.9352427840664836,"(0.9074439439744226, 0.9587376157491927)",-0.008427325948683232,"(-0.02449199285887975, 0.005209381145921445)",HospPortugues_Salvador,2630,0.9219664340476039,0.9617055333601318,0.9074439439744226,0.9587376157491927,-0.02449199285887975,0.005209381145921445
0.7842112281098313,"(0.7523039476516729, 0.8120311357232011)",0.7715673204868044,"(0.7396092923082739, 0.7992181622956376)",-0.012643907623026994,"(-0.024595589722055708, -3.4105650552003394e-05)",HospSantaCasaSP_FULL,3204,0.7523039476516729,0.8120311357232011,0.7396092923082739,0.7992181622956376,-0.024595589722055708,-3.4105650552003394e-05
0.7628944308495424,"(0.38303571428571426, 0.9926739926739927)",0.9009901354589046,"(0.717043234000977, 1.0)",0.138095704609362,"(-0.11493291352841918, 0.576007326007326)",HospSantaCatarinaBlumenau,312,0.38303571428571426,0.9926739926739927,0.717043234000977,1.0,-0.11493291352841918,0.576007326007326
0.895221354108185,"(0.7539961396977697, 0.9829745739559337)",0.8917813893098969,"(0.7999693564862104, 0.9612148268398268)",-0.0034399647982882435,"(-0.10789251346087748, 0.10260469867211455)",HospSantaJulia_Manaus,331,0.7539961396977697,0.9829745739559337,0.7999693564862104,0.9612148268398268,-0.10789251346087748,0.10260469867211455
0.8364340356066746,"(0.624875, 0.976923076923077)",0.8068935889744696,"(0.5994178921568627, 0.969234693877551)",-0.029540446632204908,"(-0.18631132294815148, 0.11111904761904766)",HospSaoFrancisco_MogiGuacu,187,0.624875,0.976923076923077,0.5994178921568627,0.969234693877551,-0.18631132294815148,0.11111904761904766
0.6890017674519893,"(0.6288854462091134, 0.7491557948106898)",0.6890048890931086,"(0.6247964235958252, 0.7498511433734294)",3.121641119372187e-06,"(-0.03872501928134189, 0.03781105818523584)",HRL_2021_02,974,0.6288854462091134,0.7491557948106898,0.6247964235958252,0.7498511433734294,-0.03872501928134189,0.03781105818523584
0.8094382245591021,"(0.6124130639097743, 0.9527855477855477)",0.7798107763326223,"(0.5831845238095239, 0.9464364961961117)",-0.02962744822647983,"(-0.16890625000000006, 0.10075549450549431)",HUTRIN_2021_02,86,0.6124130639097743,0.9527855477855477,0.5831845238095239,0.9464364961961117,-0.16890625000000006,0.10075549450549431
0.785618671958368,"(0.6428313873626373, 0.9090980113636363)",0.7267713798928473,"(0.55, 0.8801658163265306)",-0.058847292065520446,"(-0.2721539046653143, 0.14370840852695688)",Pelotas,138,0.6428313873626373,0.9090980113636363,0.55,0.8801658163265306,-0.2721539046653143,0.14370840852695688
0.7215062817599198,"(0.5472480620155038, 0.8744331395348837)",0.6895942817510555,"(0.5371781185300207, 0.8199776785714286)",-0.03191200000886445,"(-0.22920673076923084, 0.178846021000276)",Pernambuco_FULL,193,0.5472480620155038,0.8744331395348837,0.5371781185300207,0.8199776785714286,-0.22920673076923084,0.178846021000276
0.8027119678692998,"(0.7222480557425308, 0.8729317393544253)",0.8152541183323041,"(0.7351571663148019, 0.8852770202864331)",0.012542150463004225,"(-0.04469549502427523, 0.07105613847973268)",Rio_de_Janeiro_HUCFF,453,0.7222480557425308,0.8729317393544253,0.7351571663148019,0.8852770202864331,-0.04469549502427523,0.07105613847973268
0.8020262085581682,"(0.7255529575972451, 0.8737987374846645)",0.8299701593798138,"(0.7552836680009263, 0.8983058156219174)",0.027943950821645695,"(-0.021565566491094278, 0.08146647919272)",Rio_de_Janeiro_Unimed,556,0.7255529575972451,0.8737987374846645,0.7552836680009263,0.8983058156219174,-0.021565566491094278,0.08146647919272
0.7709860569383975,"(0.6745038002384108, 0.8510035918670613)",0.7156174378592276,"(0.600862265641926, 0.8107735040855423)",-0.05536861907916986,"(-0.1126920112247798, -0.0017501715854495454)",SantaCasa_Belem,1513,0.6745038002384108,0.8510035918670613,0.600862265641926,0.8107735040855423,-0.1126920112247798,-0.0017501715854495454
