hospital,quantidade,auc_local_mean,auc_local_ci_lower,auc_local_ci_upper,auc_federated_mean,auc_federated_ci_lower,auc_federated_ci_upper,gain_mean,gain_ci_lower,gain_ci_upper
HospSantaCasaSP_FULL,3204,0.7840,0.7544,0.8111,0.7715,0.7405,0.8023,-0.0126,-0.0248,-0.0009
HC_USP,2789,0.7865,0.7525,0.8203,0.7721,0.7365,0.8056,-0.0145,-0.0278,-0.0007
HospPortugues_Salvador,2630,0.9440,0.9230,0.9631,0.9359,0.9090,0.9589,-0.0081,-0.0251,0.0069
SantaCasa_Belem,1513,0.7673,0.6806,0.8473,0.7107,0.6122,0.8103,-0.0566,-0.1170,-0.0013
Ceara_Unimed,1377,0.8511,0.7845,0.9096,0.8422,0.7833,0.8919,-0.0088,-0.0452,0.0296
HRL_2021_02,974,0.6895,0.6288,0.7468,0.6897,0.6291,0.7511,0.0002,-0.0428,0.0388
HospGrupoSanta,626,0.8707,0.7941,0.9378,0.7985,0.6911,0.8877,-0.0722,-0.1511,0.0003
GHC_02,600,0.8379,0.7531,0.9098,0.8409,0.7656,0.9022,0.0029,-0.0485,0.0630
Rio_de_Janeiro_Unimed,556,0.8020,0.7234,0.8710,0.8301,0.7600,0.8956,0.0281,-0.0231,0.0791
HMV_POA_02,537,0.7940,0.6096,0.9355,0.8405,0.6820,0.9615,0.0465,-0.0599,0.1998
Rio_de_Janeiro_HUCFF,453,0.8015,0.7228,0.8754,0.8147,0.7322,0.8842,0.0132,-0.0438,0.0695
HospSantaJulia_Manaus,331,0.9005,0.7448,0.9842,0.8918,0.8007,0.9650,-0.0086,-0.1032,0.1044
HospSantaCatarinaBlumenau,312,0.7556,0.3650,0.9839,0.9008,0.7394,1.0000,0.1452,-0.1064,0.5888
Pernambuco_FULL,193,0.7192,0.5521,0.8732,0.6955,0.5503,0.8321,-0.0237,-0.2146,0.2105
HospSaoFrancisco_MogiGuacu,187,0.8318,0.6177,0.9739,0.8050,0.5924,0.9739,-0.0268,-0.2157,0.1101
Hospital_Ultimo,186,0.8019,0.6816,0.9054,0.7336,0.5473,0.8800,-0.0683,-0.2283,0.0698
Pelotas,138,0.7872,0.6345,0.9178,0.7213,0.5358,0.8807,-0.0660,-0.2833,0.1362
Ceara_HUWC,125,0.6103,0.3938,0.8084,0.7153,0.5057,0.8857,0.1050,-0.0032,0.2286
HEVV,113,0.6101,0.3955,0.8001,0.7041,0.5144,0.8611,0.0940,-0.0492,0.2271
Amazonas_HUGV,92,0.8722,0.7062,0.9826,0.8747,0.7197,0.9932,0.0025,-0.1061,0.1276
HUTRIN_2021_02,86,0.8078,0.6339,0.9478,0.7791,0.5816,0.9394,-0.0287,-0.1667,0.0978
