hospital,quantidade,auc_local_mean,auc_local_ci_lower,auc_local_ci_upper,auc_federated_mean,auc_federated_ci_lower,auc_federated_ci_upper,gain_mean,gain_ci_lower,gain_ci_upper
HospSantaCasaSP_FULL,3204,0.7689,0.7391,0.7979,0.7437,0.7128,0.7734,-0.0252,-0.0464,-0.0044
HC_USP,2789,0.7755,0.7411,0.8076,0.7614,0.7234,0.7987,-0.0141,-0.0368,0.0081
HospPortugues_Salvador,2630,0.8819,0.8214,0.9286,0.8980,0.8298,0.9510,0.0161,-0.0297,0.0581
SantaCasa_Belem,1513,0.7920,0.7095,0.8781,0.7562,0.6581,0.8481,-0.0358,-0.0855,0.0088
Ceara_Unimed,1377,0.8318,0.7629,0.8924,0.7808,0.7142,0.8405,-0.0510,-0.1077,0.0019
HRL_2021_02,974,0.7184,0.6595,0.7732,0.6299,0.5645,0.6919,-0.0884,-0.1527,-0.0273
HospGrupoSanta,626,0.7125,0.6000,0.8201,0.7886,0.7060,0.8615,0.0760,-0.0271,0.1948
GHC_02,600,0.7635,0.6648,0.8486,0.7927,0.6961,0.8758,0.0292,-0.0290,0.0866
Rio_de_Janeiro_Unimed,556,0.8008,0.7174,0.8677,0.8007,0.7225,0.8647,-0.0001,-0.0718,0.0757
HMV_POA_02,537,0.7674,0.6262,0.9017,0.9122,0.8268,0.9742,0.1448,0.0385,0.2709
Rio_de_Janeiro_HUCFF,453,0.8016,0.7185,0.8780,0.7804,0.6800,0.8690,-0.0211,-0.1244,0.0700
HospSantaJulia_Manaus,331,0.8101,0.6643,0.9320,0.8734,0.7797,0.9552,0.0633,-0.0572,0.1875
HospSantaCatarinaBlumenau,312,0.8765,0.7397,0.9834,0.8992,0.7688,0.9871,0.0227,-0.0733,0.1150
Pernambuco_FULL,193,0.5924,0.4171,0.7573,0.7042,0.5422,0.8695,0.1118,-0.1162,0.3334
HospSaoFrancisco_MogiGuacu,187,0.8505,0.7025,0.9706,0.8964,0.7847,0.9739,0.0459,-0.0915,0.1957
Hospital_Ultimo,186,0.6083,0.3972,0.8158,0.7508,0.5815,0.8889,0.1425,-0.0823,0.3766
Pelotas,138,0.5158,0.3265,0.7132,0.6009,0.3877,0.8041,0.0852,-0.1806,0.3436
Ceara_HUWC,125,0.5920,0.3493,0.8083,0.5874,0.3974,0.7792,-0.0046,-0.2759,0.2854
HEVV,113,0.5346,0.2805,0.7645,0.6995,0.4963,0.8836,0.1649,-0.1067,0.4622
Amazonas_HUGV,92,0.4927,0.2423,0.7445,0.7390,0.5231,0.9305,0.2463,-0.1001,0.6083
HUTRIN_2021_02,86,0.3960,0.1845,0.6303,0.7467,0.5333,0.9412,0.3507,0.0606,0.6243
